index, ChartLabel, SetName, Slope, N=, RSquared, PValue, YIntercept, MeanX, MeanY
35, D Ncpv vs D Cac, Zeta, 0.555, 12, 0.33560, 0.531089488, -9.85920, 23.31, 3.08333
36, D Ncpv vs D Cac, Beta, 0.410, 40, 0.18428, 0.645813831, -0.21511, 50.16, 20.35000
37, D Ncpv vs D Cac, Gamma, 0.000, 48, NaN, 1.000000000, 0.00000, 17.99, 0.00000
38, D Ncpv vs D Cac, Theta, -0.037, 23, 0.11356, 0.735750461, 5.01275, 38.08, 3.60870
39, D Ncpv vs D Cac, Eta, 0.392, 17, 0.13783, 0.712493220, 16.91461, 66.51, 43.00000
40, D Ncpv vs D Cac, BetaUZeta, 0.443, 52, 0.22786, 0.596608915, -3.12857, 43.97, 16.36538
41, D Tps vs D Cac, Omega, 1.426, 100, 0.00364, 0.952415165, 7.78268, 0.51, 8.51000
42, D Tps vs D Cac, Alpha, 2.178, 88, 0.00789, 0.929969569, 7.93853, 0.60, 9.25000
43, D Tps vs D Cac, Zeta, -10.534, 12, 0.24966, 0.609974946, 1.32759, -0.17, 3.08333
44, D Tps vs D Cac, Beta, -3.959, 40, 0.02122, 0.886653820, 25.10088, 1.20, 20.35000
45, D Tps vs D Cac, Gamma, 0.000, 48, NaN, 1.000000000, 0.00000, 0.10, 0.00000
46, D Tps vs D Cac, Theta, -0.073, 23, 0.00078, 0.978936049, 3.69782, 1.22, 3.60870
47, D Tps vs D Cac, Eta, -6.251, 17, 0.04497, 0.841231882, 50.35465, 1.18, 43.00000
48, D Tps vs D Cac, BetaUZeta, -1.624, 52, 0.00437, 0.948479971, 17.80226, 0.88, 16.36538
49, D Pav vs D Cac, Omega, 884.826, 100, 0.17684, 0.647365497, -1.86016, 0.01, 8.51000
50, D Pav vs D Cac, Alpha, 960.257, 88, 0.19117, 0.632017359, -2.31673, 0.01, 9.25000
51, D Pav vs D Cac, Zeta, 387.169, 12, 0.07286, 0.803204442, -0.53024, 0.01, 3.08333
52, D Pav vs D Cac, Beta, 1004.987, 40, 0.13095, 0.707272809, 1.73261, 0.02, 20.35000
53, D Pav vs D Cac, Gamma, 0.000, 48, NaN, 1.000000000, 0.00000, 0.01, 0.00000
54, D Pav vs D Cac, Theta, -50.409, 23, 0.04208, 0.843202997, 4.37140, 0.02, 3.60870
55, D Pav vs D Cac, Eta, 1330.425, 17, 0.13878, 0.711403032, 12.24370, 0.02, 43.00000
56, D Pav vs D Cac, BetaUZeta, 940.323, 52, 0.14466, 0.688477029, 0.94048, 0.02, 16.36538
57, D Tcpv vs D Cac, Omega, 1.417, 100, 0.17142, 0.653503725, 2.83147, 4.01, 8.51000
58, D Tcpv vs D Cac, Alpha, 1.462, 88, 0.18730, 0.636284237, 3.25939, 4.10, 9.25000
59, D Tcpv vs D Cac, Zeta, 0.352, 12, 0.00737, 0.938849595, 1.91108, 3.33, 3.08333
60, D Tcpv vs D Cac, Beta, 1.065, 40, 0.08231, 0.771948501, 11.10458, 8.68, 20.35000
61, D Tcpv vs D Cac, Gamma, 0.000, 48, NaN, 1.000000000, 0.00000, 0.28, 0.00000
62, D Tcpv vs D Cac, Theta, 0.100, 23, 0.04450, 0.838609445, 3.19594, 4.15, 3.60870
63, D Tcpv vs D Cac, Eta, -0.169, 17, 0.00138, 0.972600612, 45.50763, 14.81, 43.00000
64, D Tcpv vs D Cac, BetaUZeta, 1.158, 52, 0.09747, 0.748605554, 7.74334, 7.45, 16.36538
65, Ncpv0 vs Ncpv1, Omega, 1.251, 100, 0.96031, 0.000004297, 12.48320, 75.88, 107.37400
66, Ncpv0 vs Ncpv1, Alpha, 1.257, 88, 0.96266, 0.000002768, 13.70215, 73.58, 106.19432
67, Ncpv0 vs Ncpv1, Zeta, 1.204, 12, 0.94970, 0.002658719, 4.37942, 92.72, 116.02500
68, Ncpv0 vs Ncpv1, Beta, 1.229, 40, 0.94789, 0.000176637, 18.76434, 137.21, 187.37250
69, Ncpv0 vs Ncpv1, Gamma, 1.522, 48, 0.85634, 0.020996526, 7.24558, 20.56, 38.54583
70, Ncpv0 vs Ncpv1, Theta, 1.080, 23, 0.90609, 0.007338311, 29.87309, 103.11, 141.19565
71, Ncpv0 vs Ncpv1, Eta, 1.278, 17, 0.96145, 0.000289673, 15.50774, 183.34, 249.84706
72, Ncpv0 vs Ncpv1, BetaUZeta, 1.241, 52, 0.94795, 0.000115305, 13.32034, 126.94, 170.90769
73, Tps0 vs Tps1, Omega, 1.092, 100, 0.88051, 0.008464156, 0.35656, 1.66, 2.17000
74, Tps0 vs Tps1, Alpha, 1.151, 88, 0.89785, 0.004328632, 0.36959, 1.55, 2.14773
75, Tps0 vs Tps1, Zeta, 0.828, 12, 0.90216, 0.019719206, 0.26344, 2.50, 2.33333
76, Tps0 vs Tps1, Beta, 1.022, 40, 0.83512, 0.034454147, 1.12715, 3.35, 4.55000
77, Tps0 vs Tps1, Gamma, 0.891, 48, 0.25466, 0.569962127, 0.10870, 0.04, 0.14583
78, Tps0 vs Tps1, Theta, 1.079, 23, 0.80833, 0.063118564, 1.05668, 2.04, 3.26087
79, Tps0 vs Tps1, Eta, 1.005, 17, 0.77707, 0.099873226, 1.15278, 5.12, 6.29412
80, Tps0 vs Tps1, BetaUZeta, 1.004, 52, 0.82016, 0.041341929, 0.87054, 3.15, 4.03846
81, Pav0 vs Pav1, Omega, 1.174, 100, 0.95027, 0.000036384, 0.00612, 0.03, 0.04385
82, Pav0 vs Pav1, Alpha, 1.214, 88, 0.96376, 0.000002014, 0.00571, 0.03, 0.04166
83, Pav0 vs Pav1, Zeta, 0.943, 12, 0.86581, 0.042864754, 0.01221, 0.05, 0.05992
84, Pav0 vs Pav1, Beta, 1.182, 40, 0.95470, 0.000067491, 0.00820, 0.06, 0.07528
85, Pav0 vs Pav1, Gamma, 1.557, 48, 0.72380, 0.119874776, 0.00275, 0.01, 0.01365
86, Pav0 vs Pav1, Theta, 1.194, 23, 0.88993, 0.012912831, 0.00785, 0.04, 0.05265
87, Pav0 vs Pav1, Eta, 1.180, 17, 0.96105, 0.000304483, 0.00824, 0.08, 0.10588
88, Pav0 vs Pav1, BetaUZeta, 1.144, 52, 0.93203, 0.000664021, 0.00843, 0.06, 0.07173
89, Tcpv0 vs Tcpv1, Omega, 1.128, 100, 0.98194, 0.000000000, 1.62159, 18.69, 22.70100
90, Tcpv0 vs Tcpv1, Alpha, 1.145, 88, 0.98054, 0.000000000, 1.63713, 16.92, 21.02159
91, Tcpv0 vs Tcpv1, Zeta, 1.066, 12, 0.99495, 0.000000157, 1.24566, 31.68, 35.01667
92, Tcpv0 vs Tcpv1, Beta, 1.115, 40, 0.97495, 0.000000441, 4.41424, 37.01, 45.69000
93, Tcpv0 vs Tcpv1, Gamma, 1.388, 48, 0.68261, 0.157866576, 0.21020, 0.18, 0.46458
94, Tcpv0 vs Tcpv1, Theta, 1.109, 23, 0.95013, 0.000431873, 2.55643, 14.59, 18.73478
95, Tcpv0 vs Tcpv1, Eta, 1.061, 17, 0.96901, 0.000097423, 10.67851, 67.35, 82.15882
96, Tcpv0 vs Tcpv1, BetaUZeta, 1.106, 52, 0.97755, 0.000000040, 3.66376, 35.78, 43.22692
97, Cac0 vs Cac1, Omega, 1.180, 100, 0.97802, 0.000000002, -0.55542, 50.28, 58.79000
98, Cac0 vs Cac1, Alpha, 1.211, 88, 0.98074, 0.000000000, -0.17252, 44.68, 53.93182
99, Cac0 vs Cac1, Zeta, 1.077, 12, 0.98371, 0.000033164, -3.94301, 91.33, 94.41667
100, Cac0 vs Cac1, Beta, 1.212, 40, 0.97423, 0.000000582, -0.51241, 98.30, 118.65000
101, Cac0 vs Cac1, Gamma, NaN, 48, NaN, 1.000000000, NaN, 0.00, 0.00000
102, Cac0 vs Cac1, Theta, 1.006, 23, 0.99806, 0.000000000, 3.36367, 37.70, 41.30435
103, Cac0 vs Cac1, Eta, 1.235, 17, 0.96266, 0.000248387, 0.69135, 180.29, 223.29412
104, Cac0 vs Cac1, BetaUZeta, 1.184, 52, 0.97177, 0.000000529, -1.39027, 96.69, 113.05769
105, ln-ln Ncpv0 vs. Ncpv1, Omega, 0.805, 100, 0.91247, 0.001873699, 1.22112, 3.57, 4.09702
106, ln-ln Ncpv0 vs. Ncpv1, Alpha, 0.811, 88, 0.91241, 0.001982647, 1.21897, 3.47, 4.03381
107, ln-ln Ncpv0 vs. Ncpv1, Zeta, 0.833, 12, 0.90942, 0.016036248, 0.97661, 4.30, 4.56058
108, ln-ln Ncpv0 vs. Ncpv1, Beta, 0.857, 40, 0.93233, 0.000861250, 1.02519, 4.61, 4.97589
109, ln-ln Ncpv0 vs. Ncpv1, Gamma, 0.765, 48, 0.79177, 0.062525488, 1.31975, 2.52, 3.24874
110, ln-ln Ncpv0 vs. Ncpv1, Theta, 0.814, 23, 0.92007, 0.003903281, 1.20589, 4.32, 4.72008
111, ln-ln Ncpv0 vs. Ncpv1, Eta, 0.946, 17, 0.93655, 0.002578986, 0.58931, 5.00, 5.32197
112, ln-ln Ncpv0 vs. Ncpv1, BetaUZeta, 0.864, 52, 0.92498, 0.001171015, 0.95874, 4.54, 4.88005
113, ln-ln Tps0 vs. Tps1, Omega, 0.993, 100, 0.84723, 0.021784459, 0.15085, 0.63, 0.77770
114, ln-ln Tps0 vs. Tps1, Alpha, 1.026, 88, 0.87743, 0.009711384, 0.15778, 0.58, 0.75712
115, ln-ln Tps0 vs. Tps1, Zeta, 0.860, 12, 0.66358, 0.228741316, 0.08782, 0.98, 0.92863
116, ln-ln Tps0 vs. Tps1, Beta, 0.763, 40, 0.76072, 0.090331012, 0.58967, 1.25, 1.54436
117, ln-ln Tps0 vs. Tps1, Gamma, 0.891, 48, 0.25466, 0.569962127, 0.07534, 0.03, 0.10108
118, ln-ln Tps0 vs. Tps1, Theta, 0.709, 23, 0.63548, 0.220910780, 0.64760, 0.91, 1.29305
119, ln-ln Tps0 vs. Tps1, Eta, 0.960, 17, 0.82883, 0.056444772, 0.24131, 1.71, 1.88438
120, ln-ln Tps0 vs. Tps1, BetaUZeta, 0.827, 52, 0.70756, 0.133491730, 0.42051, 1.19, 1.40227
121, ln-ln Pav0 vs. Pav1, Omega, 1.157, 100, 0.94982, 0.000039348, 0.00617, 0.03, 0.04201
122, ln-ln Pav0 vs. Pav1, Alpha, 1.195, 88, 0.96255, 0.000002856, 0.00576, 0.03, 0.03988
123, ln-ln Pav0 vs. Pav1, Zeta, 0.935, 12, 0.86944, 0.040246008, 0.01201, 0.05, 0.05763
124, ln-ln Pav0 vs. Pav1, Beta, 1.159, 40, 0.95360, 0.000080072, 0.00845, 0.05, 0.07156
125, ln-ln Pav0 vs. Pav1, Gamma, 1.543, 48, 0.72695, 0.117043084, 0.00275, 0.01, 0.01348
126, ln-ln Pav0 vs. Pav1, Theta, 1.179, 23, 0.89105, 0.012471294, 0.00776, 0.04, 0.05085
127, ln-ln Pav0 vs. Pav1, Eta, 1.150, 17, 0.96062, 0.000320966, 0.00898, 0.08, 0.09957
128, ln-ln Pav0 vs. Pav1, BetaUZeta, 1.122, 52, 0.93162, 0.000687803, 0.00869, 0.05, 0.06834
129, ln-ln Tcpv0 vs. Tcpv1, Omega, 1.002, 100, 0.96752, 0.000000459, 0.21778, 1.40, 1.61689
130, ln-ln Tcpv0 vs. Tcpv1, Alpha, 1.008, 88, 0.96947, 0.000000285, 0.21634, 1.32, 1.54310
131, ln-ln Tcpv0 vs. Tcpv1, Zeta, 0.976, 12, 0.95472, 0.001852828, 0.22004, 1.99, 2.15800
132, ln-ln Tcpv0 vs. Tcpv1, Beta, 0.904, 40, 0.96010, 0.000026240, 0.58849, 2.77, 3.08975
133, ln-ln Tcpv0 vs. Tcpv1, Gamma, 1.176, 48, 0.63624, 0.201896870, 0.12916, 0.11, 0.25423
134, ln-ln Tcpv0 vs. Tcpv1, Theta, 0.874, 23, 0.91911, 0.004099204, 0.61742, 1.91, 2.28300
135, ln-ln Tcpv0 vs. Tcpv1, Eta, 0.894, 17, 0.96502, 0.000180070, 0.66277, 3.93, 4.18124
136, ln-ln Tcpv0 vs. Tcpv1, BetaUZeta, 0.938, 52, 0.95662, 0.000028663, 0.44822, 2.59, 2.87473
137, ln-ln Cac0 vs. Cac1, Omega, 1.012, 100, 0.97308, 0.000000041, 0.08179, 1.71, 1.80816
138, ln-ln Cac0 vs. Cac1, Alpha, 1.018, 88, 0.98418, 0.000000000, 0.13343, 1.55, 1.71671
139, ln-ln Cac0 vs. Cac1, Zeta, 1.081, 12, 0.94902, 0.002780093, -0.55631, 2.81, 2.47879
140, ln-ln Cac0 vs. Cac1, Beta, 0.872, 40, 0.98568, 0.000000001, 0.79565, 3.42, 3.77676
141, ln-ln Cac0 vs. Cac1, Gamma, NaN, 48, NaN, 1.000000000, NaN, 0.00, 0.00000
142, ln-ln Cac0 vs. Cac1, Theta, 0.817, 23, 0.98296, 0.000000379, 0.85018, 2.35, 2.76806
143, ln-ln Cac0 vs. Cac1, Eta, 0.851, 17, 0.97289, 0.000048149, 0.99618, 4.87, 5.14146
144, ln-ln Cac0 vs. Cac1, BetaUZeta, 0.953, 52, 0.94074, 0.000281211, 0.35285, 3.28, 3.47722
145, DNcpv0 vs. DTcp, Omega, 0.013, 100, 0.14955, 0.678955815, 0.09352, 31.50, 0.51000
146, DNcpv0 vs. DTcp, Alpha, 0.013, 88, 0.14827, 0.681026990, 0.19186, 32.61, 0.60227
147, DNcpv0 vs. DTcp, Zeta, 0.012, 12, 0.07343, 0.802404865, -0.45381, 23.31, -0.16667
148, DNcpv0 vs. DTcp, Beta, 0.006, 40, 0.03382, 0.856276152, 0.87588, 50.16, 1.20000
149, DNcpv0 vs. DTcp, Gamma, 0.003, 48, 0.02417, 0.878221035, 0.05545, 17.99, 0.10417
150, DNcpv0 vs. DTcp, Theta, 0.023, 23, 0.30394, 0.534582938, 0.34036, 38.08, 1.21739
151, DNcpv0 vs. DTcp, Eta, 0.000, 17, 0.00000, 0.999358814, 1.17440, 66.51, 1.17647
152, DNcpv0 vs. DTcp, BetaUZeta, 0.011, 52, 0.08947, 0.759829461, 0.38765, 43.97, 0.88462
153, Ncpv vs. DPav, Omega, 0.000, 100, 0.64713, 0.183149762, 0.00199, 31.50, 0.01172
154, Ncpv vs. DPav, Alpha, 0.000, 88, 0.70960, 0.125946846, 0.00202, 32.61, 0.01205
155, Ncpv vs. DPav, Zeta, 0.000, 12, 0.26795, 0.592879296, 0.00127, 23.31, 0.00933
156, Ncpv vs. DPav, Beta, 0.000, 40, 0.58772, 0.251791061, 0.00530, 50.16, 0.01853
157, Ncpv vs. DPav, Gamma, 0.000, 48, 0.77151, 0.078605639, -0.00014, 17.99, 0.00665
158, Ncpv vs. DPav, Theta, 0.000, 23, 0.68713, 0.171419008, 0.00108, 38.08, 0.01513
159, Ncpv vs. DPav, Eta, 0.000, 17, 0.48379, 0.377540693, 0.00943, 66.51, 0.02312
160, Ncpv vs. DPav, BetaUZeta, 0.000, 52, 0.54453, 0.288789531, 0.00421, 43.97, 0.01640
161, DNcpv vs. DTcpv, Omega, 0.114, 100, 0.23220, 0.587398441, 0.42261, 31.50, 4.00700
162, DNcpv vs. DTcpv, Alpha, 0.117, 88, 0.24497, 0.574837536, 0.26856, 32.61, 4.09886
163, DNcpv vs. DTcpv, Zeta, 0.048, 12, 0.04152, 0.853113830, 2.22194, 23.31, 3.33333
164, DNcpv vs. DTcpv, Beta, 0.089, 40, 0.12085, 0.719827945, 4.19436, 50.16, 8.68000
165, DNcpv vs. DTcpv, Gamma, 0.003, 48, 0.00699, 0.934878161, 0.22855, 17.99, 0.28125
166, DNcpv vs. DTcpv, Theta, 0.106, 23, 0.20721, 0.630254537, 0.12713, 38.08, 4.14783
167, DNcpv vs. DTcpv, Eta, 0.010, 17, 0.00172, 0.969432251, 14.17268, 66.51, 14.81176
168, DNcpv vs. DTcpv, BetaUZeta, 0.097, 52, 0.15136, 0.680556123, 3.16232, 43.97, 7.44615
169, DTps vs. DPav, Omega, 0.004, 100, 0.16030, 0.666302917, 0.00943, 0.51, 0.01172
170, DTps vs. DPav, Alpha, 0.005, 88, 0.18022, 0.644172389, 0.00919, 0.60, 0.01205
171, DTps vs. DPav, Zeta, 0.003, 12, 0.03263, 0.870198909, 0.00978, -0.17, 0.00933
172, DTps vs. DPav, Beta, 0.002, 40, 0.05698, 0.811937756, 0.01572, 1.20, 0.01853
173, DTps vs. DPav, Gamma, 0.006, 48, 0.05453, 0.815170723, 0.00605, 0.10, 0.00665
174, DTps vs. DPav, Theta, 0.007, 23, 0.40084, 0.443198378, 0.00692, 1.22, 0.01513
175, DTps vs. DPav, Eta, -0.001, 17, 0.00576, 0.943950973, 0.02385, 1.18, 0.02312
176, DTps vs. DPav, BetaUZeta, 0.003, 52, 0.10119, 0.743513143, 0.01361, 0.88, 0.01640
177, DTps vs. DTcpv, Omega, 2.134, 100, 0.09550, 0.748383750, 2.91842, 0.51, 4.00700
178, DTps vs. DTcpv, Alpha, 2.365, 88, 0.10613, 0.734208830, 2.67426, 0.60, 4.09886
179, DTps vs. DTcpv, Zeta, 0.503, 12, 0.00957, 0.930282824, 3.41724, -0.17, 3.33333
180, DTps vs. DTcpv, Beta, 0.508, 40, 0.00482, 0.946284700, 8.07018, 1.20, 8.68000
181, DTps vs. DTcpv, Gamma, -0.269, 48, 0.01793, 0.895331165, 0.30930, 0.10, 0.28125
182, DTps vs. DTcpv, Theta, 2.134, 23, 0.14769, 0.694819057, 1.55016, 1.22, 4.14783
183, DTps vs. DTcpv, Eta, -0.507, 17, 0.00615, 0.942068293, 15.40872, 1.18, 14.81176
184, DTps vs. DTcpv, BetaUZeta, 1.123, 52, 0.02874, 0.866736175, 6.45230, 0.88, 7.44615
185, DPav vs. DTcpv, Omega, 285.420, 100, 0.21557, 0.604958382, 0.66188, 0.01, 4.00700
186, DPav vs. DTcpv, Alpha, 323.819, 88, 0.24792, 0.571790439, 0.19832, 0.01, 4.09886
187, DPav vs. DTcpv, Zeta, 58.490, 12, 0.02790, 0.880170789, 2.78742, 0.01, 3.33333
188, DPav vs. DTcpv, Beta, 275.844, 40, 0.13598, 0.701155268, 3.57000, 0.02, 8.68000
189, DPav vs. DTcpv, Gamma, 5.510, 48, 0.00456, 0.947476441, 0.24463, 0.01, 0.28125
190, DPav vs. DTcpv, Theta, 215.718, 23, 0.17146, 0.668231710, 0.88392, 0.02, 4.14783
191, DPav vs. DTcpv, Eta, 105.439, 17, 0.01810, 0.900216292, 12.37426, 0.02, 14.81176
192, DPav vs. DTcpv, BetaUZeta, 252.972, 52, 0.14401, 0.689243553, 3.29643, 0.02, 7.44615
193, DNcpv/DCac vs. DTps, Omega, 0.026, 100, 0.13977, 0.690728912, 0.40447, 4.03, 0.51000
194, DNcpv/DCac vs. DTps, Alpha, 0.030, 88, 0.17784, 0.646842552, 0.44649, 5.28, 0.60227
195, DNcpv/DCac vs. DTps, Zeta, -0.032, 12, 0.22559, 0.632860535, -0.33208, -5.12, -0.16667
196, DNcpv/DCac vs. DTps, Beta, 0.018, 40, 0.08626, 0.766209394, 0.98545, 11.62, 1.20000
197, DNcpv/DCac vs. DTps, Gamma, NaN, 48, NaN, 1.000000000, NaN, 0.00, 0.10417
198, DNcpv/DCac vs. DTps, Theta, 0.020, 23, 0.21384, 0.623415983, 0.84391, 18.51, 1.21739
199, DNcpv/DCac vs. DTps, Eta, 0.302, 17, 0.12747, 0.724575409, 0.48698, 2.29, 1.17647
200, DNcpv/DCac vs. DTps, BetaUZeta, 0.021, 52, 0.10243, 0.741830707, 0.72113, 7.75, 0.88462
201, ln-ln DNcpv/DCac vs. DTps, Omega, 0.180, 100, 0.31605, 0.502565212, 0.18775, 0.96, 0.36017
202, ln-ln DNcpv/DCac vs. DTps, Alpha, 0.199, 88, 0.35930, 0.461136587, 0.14846, 0.92, 0.33051
203, ln-ln DNcpv/DCac vs. DTps, Zeta, 0.021, 12, 0.01428, 0.914691439, 0.55124, 1.26, 0.57762
204, ln-ln DNcpv/DCac vs. DTps, Beta, 0.124, 40, 0.13225, 0.705683232, 0.39146, 2.01, 0.64049
205, ln-ln DNcpv/DCac vs. DTps, Gamma, NaN, 48, NaN, 1.000000000, NaN, 0.00, 0.07220
206, ln-ln DNcpv/DCac vs. DTps, Theta, 0.136, 23, 0.23132, 0.605641482, 0.30829, 2.65, 0.67045
207, ln-ln DNcpv/DCac vs. DTps, Eta, 0.634, 17, 0.11330, 0.741694954, -0.12677, 1.15, 0.59995
208, ln-ln DNcpv/DCac vs. DTps, BetaUZeta, 0.101, 52, 0.10914, 0.732876941, 0.43955, 1.84, 0.62598
209, DNcpv/DPav vs. DTps, Omega, -0.000, 100, 0.02900, 0.864509487, 0.70264, 437.93, 0.51000
210, DNcpv/DPav vs. DTps, Alpha, -0.001, 88, 0.11493, 0.722535142, 1.06175, 433.41, 0.60227
211, DNcpv/DPav vs. DTps, Zeta, 0.000, 12, 0.17535, 0.682695829, -0.39706, 471.13, -0.16667
212, DNcpv/DPav vs. DTps, Beta, -0.001, 40, 0.03987, 0.843615410, 1.53640, 264.41, 1.20000
213, DNcpv/DPav vs. DTps, Gamma, -0.000, 48, 0.04976, 0.823730932, 0.21173, 574.24, 0.10417
214, DNcpv/DPav vs. DTps, Theta, -0.002, 23, 0.15939, 0.681575166, 1.80178, 311.97, 1.21739
215, DNcpv/DPav vs. DTps, Eta, 0.001, 17, 0.00293, 0.960088776, 1.04960, 200.05, 1.17647
216, DNcpv/DPav vs. DTps, BetaUZeta, -0.000, 52, 0.00189, 0.966130782, 0.92837, 312.11, 0.88462
217, ln-ln DNcpv/DPav vs. DTps, Omega, -0.000, 100, 0.07638, 0.776489967, 0.49683, 437.93, 0.36017
218, ln-ln DNcpv/DPav vs. DTps, Alpha, -0.001, 88, 0.15893, 0.668472511, 0.57645, 433.41, 0.33051
219, ln-ln DNcpv/DPav vs. DTps, Zeta, 0.000, 12, 0.01309, 0.918362207, 0.55951, 471.13, 0.57762
220, ln-ln DNcpv/DPav vs. DTps, Beta, -0.001, 40, 0.06145, 0.804401102, 0.81046, 264.41, 0.64049
221, ln-ln DNcpv/DPav vs. DTps, Gamma, -0.000, 48, 0.04976, 0.823730932, 0.14676, 574.24, 0.07220
222, ln-ln DNcpv/DPav vs. DTps, Theta, -0.001, 23, 0.17505, 0.664313612, 0.95377, 311.97, 0.67045
223, ln-ln DNcpv/DPav vs. DTps, Eta, -0.000, 17, 0.00005, 0.994862449, 0.60587, 200.05, 0.59995
224, ln-ln DNcpv/DPav vs. DTps, BetaUZeta, -0.000, 52, 0.00776, 0.931235868, 0.65766, 312.11, 0.62598
225, DNcpv/DTcpv vs. DTps, Omega, -0.002, 100, 0.00021, 0.988453868, 0.51907, 6.02, 0.51000
226, DNcpv/DTcpv vs. DTps, Alpha, -0.003, 88, 0.00120, 0.972780146, 0.62369, 6.23, 0.60227
227, DNcpv/DTcpv vs. DTps, Zeta, 0.005, 12, 0.00194, 0.968671832, -0.18811, 4.48, -0.16667
228, DNcpv/DTcpv vs. DTps, Beta, 0.011, 40, 0.00259, 0.960667633, 1.15384, 4.09, 1.20000
229, DNcpv/DTcpv vs. DTps, Gamma, 0.005, 48, 0.05133, 0.820887959, 0.06201, 8.02, 0.10417
230, DNcpv/DTcpv vs. DTps, Theta, 0.008, 23, 0.00307, 0.958186882, 1.16746, 5.91, 1.21739
